Lat,Lon,Date
46.4545,-114.5036,2021-07-18
46.4482,-114.5007,2021-07-18
46.45,-114.521,2021-07-18
46.8111,-113.3071,2021-07-18
46.8215,-113.3059,2021-07-18
46.3456,-114.7499,2021-07-18
46.3458,-114.7577,2021-07-18
46.4512,-114.5294,2021-07-18
46.4513,-114.467,2021-07-18
46.4458,-114.4933,2021-07-18
46.3379,-114.7769,2021-07-18
46.4441,-114.4974,2021-07-18
46.4562,-114.5041,2021-07-18
46.4366,-114.5288,2021-07-18
46.3445,-114.7493,2021-07-18
46.4386,-114.5245,2021-07-18
46.4494,-114.533,2021-07-18
46.4525,-114.484,2021-07-18
46.4339,-114.5413,2021-07-18
46.4523,-114.4927,2021-07-18
46.4518,-114.5475,2021-07-18
46.3435,-114.7802,2021-07-18
46.4345,-114.4808,2021-07-18
46.6266,-114.6719,2021-07-18
46.3419,-114.7833,2021-07-18
46.3443,-114.7219,2021-07-18
46.4343,-114.4894,2021-07-18
46.4517,-114.5382,2021-07-18
46.6272,-114.6821,2021-07-18
46.3425,-114.725,2021-07-18
46.4339,-114.5339,2021-07-18
46.6489,-114.6355,2021-07-19
46.5292,-115.0301,2021-07-19
46.6291,-114.6505,2021-07-19
46.527,-115.0434,2021-07-19
46.6464,-114.5923,2021-07-19
46.64,-114.6321,2021-07-19
46.6333,-114.673,2021-07-19
46.6268,-114.6646,2021-07-19
45.8339,-114.956,2021-07-19
46.8175,-113.3096,2021-07-19
46.8067,-113.3198,2021-07-19
46.8155,-113.3225,2021-07-19
46.8086,-113.3068,2021-07-19
46.6511,-114.6217,2021-07-19
45.8391,-114.9635,2021-07-19
46.3499,-114.7537,2021-07-19
46.3522,-114.7397,2021-07-19
46.6479,-114.6266,2021-07-19
46.3487,-114.7476,2021-07-19
46.8144,-113.3035,2021-07-19
46.8161,-113.317,2021-07-19
46.4864,-114.5232,2021-07-19
46.6461,-114.6114,2021-07-19
46.5293,-115.0353,2021-07-19
46.4869,-114.5304,2021-07-21
46.4901,-114.5132,2021-07-21
46.4971,-114.5224,2021-07-21
45.8324,-114.9549,2021-07-21
46.349,-114.7521,2021-07-21
46.4903,-114.5284,2021-07-21
46.4322,-114.5128,2021-07-21
45.8344,-114.9681,2021-07-21
46.6353,-114.6797,2021-07-21
46.4882,-114.5156,2021-07-21
45.8338,-114.9551,2021-07-21
46.6243,-114.6811,2021-07-21
46.3543,-114.7361,2021-07-21
46.6441,-114.6165,2021-07-21
46.6419,-114.6301,2021-07-21
46.4447,-114.5224,2021-07-21
45.8316,-114.968,2021-07-21
46.4969,-114.5084,2021-07-22
46.4861,-114.5079,2021-07-22
46.4275,-114.5092,2021-07-22
46.4844,-114.5261,2021-07-22
46.4952,-114.5271,2021-07-22
45.8374,-114.9637,2021-07-22
46.4861,-114.5152,2021-07-22
46.4956,-114.5102,2021-07-22
46.4889,-114.5301,2021-07-22
46.4473,-114.4975,2021-07-22
46.4942,-114.5023,2021-07-22
46.4897,-114.4956,2021-07-22
46.4899,-114.5186,2021-07-22
46.4396,-114.5128,2021-07-22
46.4812,-114.4858,2021-07-22
46.4393,-114.5091,2021-07-22
46.5038,-114.5107,2021-07-22
46.4733,-114.5421,2021-07-22
46.4727,-114.5396,2021-07-22
46.4887,-114.5505,2021-07-22
46.4975,-114.5117,2021-07-22
46.6421,-114.6588,2021-07-22
46.4714,-114.514,2021-07-22
46.4828,-114.5388,2021-07-22
46.4222,-114.5003,2021-07-22
46.6547,-114.6617,2021-07-22
46.4844,-114.5131,2021-07-22
46.4955,-114.5416,2021-07-22
46.3388,-114.7633,2021-07-22
46.4205,-114.5256,2021-07-22
45.8357,-114.9801,2021-07-22
45.8431,-114.973,2021-07-23
46.4868,-114.5083,2021-07-23
46.492,-114.4843,2021-07-23
46.508,-114.4999,2021-07-23
46.6516,-114.6538,2021-07-23
46.5029,-114.5227,2021-07-23
46.4971,-114.492,2021-07-23
46.4977,-114.5161,2021-07-23
46.4808,-114.5088,2021-07-23
46.4913,-114.5181,2021-07-23
46.4993,-114.5153,2021-07-23
46.4972,-114.482,2021-07-23
46.4565,-114.5286,2021-07-23
46.4962,-114.4844,2021-07-23
46.6485,-114.6588,2021-07-23
46.5322,-115.0387,2021-07-23
46.4816,-114.516,2021-07-23
46.489,-114.5007,2021-07-23
46.6431,-114.6177,2021-07-23
46.4998,-114.512,2021-07-23
45.8415,-114.9705,2021-07-23
46.6157,-114.6954,2021-07-23
46.498,-114.4981,2021-07-23
46.4944,-114.4711,2021-07-23
46.4925,-114.5278,2021-07-23
46.614,-114.6824,2021-07-23
46.4799,-114.5025,2021-07-23
46.5015,-114.5251,2021-07-23
46.4457,-114.5179,2021-07-23
46.6065,-114.6933,2021-07-23
46.4883,-114.4924,2021-07-23
46.4397,-114.5253,2021-07-23
46.3496,-114.7305,2021-07-23
46.4917,-114.5305,2021-07-23
46.4915,-114.4753,2021-07-23
46.4852,-114.5083,2021-07-23
46.655,-114.6057,2021-07-23
46.652,-114.6218,2021-07-23
46.528,-115.0435,2021-07-23
46.4296,-114.5223,2021-07-23
46.4888,-114.546,2021-07-23
46.4948,-114.514,2021-07-23
45.8314,-114.973,2021-07-23
46.5047,-114.5176,2021-07-23
46.4757,-114.5031,2021-07-23
46.6422,-114.6174,2021-07-23
46.3462,-114.7483,2021-07-23
46.4982,-114.4959,2021-07-23
